trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
1,AUDUSD,baseline_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",67.26999999999768,94,50.0,1.4770921985815428,-19.42446043165497,3.0454963319281507,1.9985415054053292e+16,6726.99999999976,True,0.8488511281670368
2,AUDUSD,baseline_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",101.56749999999992,72,48.61111111111111,1.9366887233993486,-8.895873797203729,5.00184583883478,46.25913553607544,10156.75,True,1.3526717531194572
3,AUDUSD,baseline_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",113.94999999999989,68,51.470588235294116,2.186361270171783,-10.465116279069768,5.954723755741432,52.60444176461459,11394.999999999996,True,1.6161542194895102
4,AUDUSD,baseline_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",71.61749999999894,53,41.509433962264154,1.7669263512970725,-11.590917871907557,4.14100752412327,317.40439019790546,7161.749999999889,False,-999.0
5,AUDUSD,baseline_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",63.774999999999096,50,40.0,1.7086111111110995,-12.078915581801176,3.8478150057678557,3.5620521408717772e+16,6377.499999999902,False,-999.0
6,AUDUSD,baseline_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",93.0,37,45.94594594594595,2.55,-14.150943396226415,6.672097395269739,7.019419001068641e+16,9300.000000000007,True,1.6973219271863311
7,AUDUSD,conservative_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",112.8299999999975,98,55.10204081632652,1.8667895828531689,-19.565217391304433,4.9207221227362625,67.01404646287736,11282.999999999709,True,1.3250591962592666
8,AUDUSD,conservative_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",107.56749999999992,67,50.74626865671642,2.1154693697664158,-10.608620689655147,5.695195133731316,49.78278289600229,10756.750000000002,True,1.536955076208791
9,AUDUSD,conservative_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",116.94999999999989,61,54.09836065573771,2.4429364589759377,-13.392857142857142,6.842590511216769,55.593576581520715,11694.999999999998,True,1.8719190558604162
10,AUDUSD,conservative_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",123.90749999999883,51,52.94117647058824,2.7118433322971534,-12.096774193548407,7.41014997803794,504.595567486693,12390.749999999873,True,2.055729020025627
11,AUDUSD,conservative_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",51.445714285713294,45,40.0,1.6157160443167704,-14.489951113525349,3.487577282708847,37.622207319978905,5144.571428571329,False,-999.0
12,AUDUSD,conservative_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",94.8342857142857,36,47.22222222222222,2.6304155614500426,-11.320754716981133,6.941513076513924,160.65278027908698,9483.428571428574,True,1.8230844422774344
13,AUDUSD,xgb_weight_2m,2,M5,0.55,1.5,1.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",57.20999999999776,90,48.888888888888886,1.414565217391288,-13.803680981595292,2.706252895160737,1.7752068935708538e+16,5720.999999999778,True,0.8241536970914172
14,AUDUSD,xgb_weight_2m,2,M5,0.6,2.0,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",109.8378571428571,67,52.23880597014925,2.142690475659689,-14.024501661129571,5.826748432431579,1224.5551966646897,10983.78571428572,True,1.561745746752595
15,AUDUSD,xgb_weight_2m,2,M5,0.62,2.0,1.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",98.94999999999989,70,48.57142857142857,1.9419324131365996,-12.413793103448276,5.019238489055565,46.287555703520034,9894.999999999996,True,1.3210102328231361
16,AUDUSD,xgb_weight_2m,2,M5,0.65,2.5,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",81.88749999999901,51,45.09803921568628,1.9704322578733622,-17.69683116117027,4.932106594202442,359.08081468135816,8188.7499999999,True,1.204868660182803
17,AUDUSD,xgb_weight_2m,2,M5,0.68,2.5,2.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",117.54499999999899,51,50.98039215686274,2.567266666666651,-9.677419354838726,6.902768727126246,0.0,11754.499999999889,True,1.9023052935433142
18,AUDUSD,xgb_weight_2m,2,M5,0.7,3.0,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",63.887500000000145,44,38.63636363636363,1.7850274936257817,-17.85448593959232,4.014783404147043,319.08684593557325,6388.75000000002,False,-999.0
19,AUDUSD,rf_weight_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",94.26999999999767,90,54.44444444444444,1.7664227642276218,-19.867549668874346,4.472647198103417,0.0,9426.999999999754,True,1.2103082836455257
20,AUDUSD,rf_weight_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",107.82785714285707,70,50.0,2.0553547584259038,-15.70882977529724,5.466593822619059,49.65240424818898,10782.785714285712,True,1.4172484637218854
21,AUDUSD,rf_weight_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",116.94999999999989,70,51.42857142857142,2.1807168096920724,-14.673913043478262,5.935507904001303,53.2110931905961,11694.999999999996,True,1.5683231620926992
22,AUDUSD,rf_weight_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",89.61749999999898,47,46.808510638297875,2.1888369316485776,-10.96775176321847,5.768545625834321,403.8294658585155,8961.74999999989,True,1.4917390129569645
23,AUDUSD,rf_weight_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",59.99999999999894,50,40.0,1.6666666666666543,-11.803278688524644,3.7032779498306345,3.351205332581251e+16,5999.999999999893,False,-999.0
