trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
1,EURUSD,baseline_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",114.26000000000138,82,58.536585365853654,2.123058777275459,-12.316715542521534,5.99243298702699,503.53421897552784,11426.000000000115,True,1.7188422568045814
2,EURUSD,baseline_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",67.37892857143157,55,47.27272727272727,1.7603037007484312,-9.709841425188365,4.296524976764782,65.74734669897542,6737.892857143166,True,1.1646976510511255
3,EURUSD,baseline_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",75.16142857143161,53,49.056603773584904,1.9279188712522768,-9.318630605044817,5.0001084242707705,0.0,7516.14285714317,True,1.3525960581230287
4,EURUSD,baseline_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",71.4900000000036,43,44.18604651162791,2.006759611322434,-8.256880733944628,5.079341362719537,133.41019951746432,7149.000000000359,False,-999.0
5,EURUSD,baseline_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",66.00000000000357,41,43.90243902439025,1.9565217391305219,-8.035714285713977,4.904045852842579,0.0,6600.000000000361,False,-999.0
6,EURUSD,baseline_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",60.000000000000874,36,38.88888888888889,1.9090909090909562,-10.434782608695283,4.522668015014144,0.0,6000.000000000094,False,-999.0
7,EURUSD,conservative_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",103.22000000000217,91,54.94505494505495,1.847594022006944,-11.797752808988315,4.841739622153835,95.67896292693675,10322.000000000187,True,1.3813579846787665
8,EURUSD,conservative_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",133.03214285714623,67,55.223880597014926,2.4837401612441576,-7.2670855814674375,7.035641493318656,516.4463584624069,13303.214285714634,True,2.002510994502771
9,EURUSD,conservative_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",120.34000000000307,62,54.83870967741935,2.4384413100646376,-7.659574468084752,6.888361822839455,488.3325155565069,12034.00000000032,True,1.9494501882837056
10,EURUSD,conservative_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",71.70517857143285,50,42.0,1.8274310936006861,-12.558139534882953,4.379279379101838,366.9615931372695,7170.517857143286,False,-999.0
11,EURUSD,conservative_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",47.32857142857483,43,39.53488372093023,1.5903421240200188,-13.761467889907713,3.3609038173760495,27.11832286551412,4732.857142857492,False,-999.0
12,EURUSD,conservative_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",73.71892857142916,39,41.02564102564102,2.048915832854857,-10.434782608695283,5.055220673264782,88.03402477360828,7371.892857142925,False,-999.0
13,EURUSD,xgb_weight_2m,2,M5,0.55,1.5,1.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",100.220000000002,87,55.172413793103445,1.8656071860425414,-10.023866348448154,4.920318053250255,94.83051192194912,10022.000000000176,True,1.4210936582778082
14,EURUSD,xgb_weight_2m,2,M5,0.6,2.0,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",88.68214285714657,67,47.76119402985074,1.8526309283448685,-11.500193381227316,4.674968088003982,127.39570223819416,8868.21428571467,True,1.2373335273319426
15,EURUSD,xgb_weight_2m,2,M5,0.62,2.0,1.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",91.15142857143196,63,49.2063492063492,1.9593877336220946,-11.365712082157216,5.117309873998863,133.33890952353843,9115.142857143206,True,1.3622170370907734
16,EURUSD,xgb_weight_2m,2,M5,0.65,2.5,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",64.71892857143267,48,41.66666666666667,1.7588897218023494,-11.144740213577037,4.112546947516181,69.12072202681775,6471.892857143268,False,-999.0
