trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
1,GBPUSD,baseline_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",197.51000000000212,128,60.9375,2.3167333333333904,-12.875536480686234,6.710546940219331,0.0,19751.000000000142,True,1.9540587042151056
2,GBPUSD,baseline_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",186.00000000000395,85,57.647058823529406,2.7222222222223227,-10.465116279069294,7.811262942457256,0.0,18600.000000000415,True,2.2457561772067245
3,GBPUSD,baseline_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",183.0000000000036,80,58.75,2.848484848484954,-8.653846153845766,8.196016067001699,0.0,18300.00000000038,True,2.4065479936466225
4,GBPUSD,baseline_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",135.0000000000052,60,50.0,2.500000000000111,-10.26315789473614,6.803358114391944,0.0,13500.000000000511,True,1.8277042324918886
5,GBPUSD,baseline_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",124.50000000000452,53,50.943396226415096,2.5961538461539613,-8.797653958943839,7.104141775479738,0.0,12450.00000000045,True,1.945006578452063
6,GBPUSD,baseline_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",75.59000000000063,40,42.5,2.0955072463768616,-10.135135135134604,5.143809328960789,0.0,7559.000000000072,False,-999.0
7,GBPUSD,conservative_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",126.4635714285762,161,50.31055900621118,1.5296903515333211,-28.512396694213592,3.326709266292671,89.78542161427892,12646.357142857581,False,-999.0
8,GBPUSD,conservative_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",120.25535714286333,106,46.22641509433962,1.7005394766681639,-17.35537190082544,4.000708034154055,224.55081392168975,12025.535714286347,True,1.0126155217348871
9,GBPUSD,conservative_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",139.01000000000562,102,49.01960784313725,1.891089743589813,-15.428571428570685,4.833381552041086,0.0,13901.000000000582,True,1.2560572171879179
10,GBPUSD,conservative_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",203.58589285714905,73,54.794520547945204,3.0438371930429735,-5.868868517083363,8.371859376833152,423.6316786236927,20358.58928571488,True,2.446353248700412
