trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
1,NZDUSD,baseline_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",39.85999999999832,61,49.18032786885246,1.4286021505376163,-17.647058823529623,2.7857690852194326,1.8248493259791324e+16,3985.9999999998345,True,0.8046975418625238
2,NZDUSD,baseline_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",53.959999999999965,43,46.51162790697674,1.8170805572380364,-16.51376146788991,4.479759147329063,33.00108856913379,5396.0,True,1.1279920476065821
3,NZDUSD,baseline_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",56.959999999999965,39,48.717948717948715,1.9985974754558191,-13.043478260869565,5.211734562917392,35.93907475829884,5696.000000000001,True,1.364414366853827
4,NZDUSD,baseline_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",37.719999999999295,28,42.857142857142854,1.7858333333333183,-9.33852140077823,4.210489817708649,0.0,3771.999999999931,False,-999.0
5,NZDUSD,baseline_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",54.899999999999274,30,46.666666666666664,2.143749999999984,-9.118541033434688,5.611761045785931,0.0,5489.999999999927,True,1.4704073609109052
6,NZDUSD,baseline_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",38.33999999999989,26,38.46153846153847,1.7987499999999979,-10.79136690647482,4.106223204546447,0.0,3833.9999999999927,False,-999.0
7,NZDUSD,conservative_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",26.239999999998492,60,46.666666666666664,1.2733333333333174,-16.956521739130643,1.873574651700758,0.0,2623.999999999849,True,0.6120144700009842
8,NZDUSD,conservative_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",-0.21000000000003638,40,32.5,0.9973149213655537,-24.742268041237114,-0.019896347685533076,-0.15819695093648156,-21.000000000004547,False,-999.0
9,NZDUSD,conservative_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",23.880000000000003,44,38.63636363636363,1.3056835637480797,-16.51376146788991,1.9800265947986342,15.840390500129738,2388.000000000001,False,-999.0
10,NZDUSD,conservative_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",36.21999999999924,32,40.625,1.6354385964912144,-21.145374449339236,3.5595537547048797,3.160954487352215e+16,3621.9999999999245,False,-999.0
11,NZDUSD,conservative_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",32.268571428570745,33,39.39393939393939,1.5294145221018969,-18.369396294082467,3.0759000220193493,74.85877622832191,3226.857142857075,False,-999.0
12,NZDUSD,conservative_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",34.58999999999998,26,38.46153846153847,1.7206249999999994,-16.901408450704224,3.738979303483867,0.0,3459.0,False,-999.0
