trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
1,USDCHF,baseline_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",94.53999999999833,57,63.1578947368421,2.500634920634891,-20.727272727272858,7.302715817527307,4.6319153520338136e+16,9453.999999999818,False,-999.0
2,USDCHF,baseline_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",-22.109999999999946,48,29.166666666666668,0.7832352941176477,-41.284403669724774,-1.8287811260512816,0.0,-2210.9999999999955,False,-999.0
3,USDCHF,baseline_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",-4.109999999999945,36,33.33333333333333,0.9429166666666675,-30.275229357798167,-0.4384499071950998,0.0,-410.99999999999454,False,-999.0
4,USDCHF,baseline_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",25.889999999999507,28,39.285714285714285,1.5076470588235196,-14.163090128755432,2.9459064353981073,0.0,2588.999999999952,False,-999.0
5,USDCHF,baseline_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",69.38999999999928,31,51.61290322580645,2.5419999999999825,-12.396694214876055,6.87960165171681,3.125540448574725e+16,6938.999999999927,True,1.875993223022911
6,USDCHF,baseline_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",-2.159999999999945,26,26.923076923076923,0.9621052631578957,-22.88135593220339,-0.2622496881372892,-2320088928755316.5,-215.99999999999454,False,-999.0
7,USDCHF,conservative_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",79.53999999999817,62,58.06451612903226,2.0197435897435656,-15.652173913043633,5.5305302483400025,0.0,7953.999999999818,True,1.5692856281353118
8,USDCHF,conservative_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",17.919999999999927,37,37.83783783783784,1.2711864406779647,-22.641509433962266,1.776100550824087,12.911285488062145,1791.9999999999945,False,-999.0
9,USDCHF,conservative_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",24.19999999999998,38,42.10526315789473,1.3666666666666665,-22.641509433962266,2.3182794079551368,1.7784895091525344e+16,2420.0,False,-999.0
10,USDCHF,conservative_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",6.389999999999672,24,33.33333333333333,1.133124999999993,-14.53744493392087,0.8913533221730322,0.0,638.9999999999673,False,-999.0
