trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
1,USDJPY,baseline_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",252.58749999998648,123,67.47967479674797,3.0613257865006243,-11.483253588517176,9.103507151390467,108.84947587076348,25258.749999998654,True,2.861290864453483
2,USDJPY,baseline_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",222.12821428570848,85,62.35294117647059,3.1568613171591613,-9.291277817660127,8.872558808803243,50.23710347409457,22212.82142857089,True,2.7627389828147293
3,USDJPY,baseline_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",224.21142857142215,82,64.63414634146342,3.4780219780218253,-7.537688442211415,9.9231670015937,102.20667753295339,22421.14285714226,True,3.1649296308001436
4,USDJPY,baseline_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",197.0824999999975,67,56.71641791044776,3.19775935130303,-5.020920502092237,8.66921228738688,118.5139478526381,19708.249999999738,True,2.6303665811732153
5,USDJPY,baseline_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",140.11714285714086,53,56.60377358490566,2.7566715621305233,-8.626969611922211,7.659173968497228,34.857895295910325,14011.714285714079,True,2.2400278302383443
6,USDJPY,baseline_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 160, ""n_jobs"": -1}",127.18571428571428,37,56.75675675675676,3.35772357723571,-6.573084764916345,8.945737505647877,66.55554072460895,12718.571428571408,True,2.734577906211568
7,USDJPY,conservative_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",242.00749999998558,134,64.17910447761194,2.6506165261151207,-12.37113402061902,7.838926443505608,100.42120150613998,24200.749999998545,True,2.3613232537406423
8,USDJPY,conservative_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",213.90714285713517,98,58.16326530612245,2.6413182284043906,-6.471317542561341,7.489977827305577,46.10021255437434,21390.71428571356,True,2.2205615360707633
9,USDJPY,conservative_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",247.8142857142783,95,63.1578947368421,3.27609100690148,-5.357142857143301,9.395667164839768,95.16481107633565,24781.428571427885,True,2.955105397534531
10,USDJPY,conservative_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",136.06589285713926,70,47.14285714285714,2.1877778609151473,-12.552301255230594,5.648363661890999,79.55036605295074,13606.589285713908,True,1.4706943452110774
